DALIBOX_ID,cluster
tr_0_ap,1
tr_1_ap,0
tr_2_ap,0
tr_3_ap,0
tr_4_ap,1
tr_5_ap,1
tr_7_ap,2
tr_8_ap,0
tr_9_ap,1
tr_10_ap,1
tr_11_ap,0
tr_12_ap,2
tr_13_ap,0
tr_14_ap,1
tr_15_ap,0
tr_17_ap,0
tr_18_ap,0
tr_19_ap,1
tr_20_ap,0
tr_22_ap,2
tr_23_ap,1
tr_24_ap,0
tr_26_ap,1
tr_29_ap,2
tr_32_ap,0
tr_34_ap,2
tr_35_ap,1
tr_36_ap,2
tr_37_ap,1
tr_38_ap,1
tr_39_ap,1
tr_40_ap,1
tr_41_ap,2
tr_44_ap,2
tr_45_ap,0
tr_46_ap,2
tr_47_ap,2
tr_48_ap,2
tr_49_ap,1
tr_50_ap,0
tr_51_ap,2
tr_53_ap,0
tr_54_ap,0
tr_55_ap,1
tr_58_ap,2
tr_59_ap,1
tr_60_ap,1
tr_61_ap,1
tr_63_ap,0
tr_65_ap,0
tr_66_ap,2
tr_67_ap,0
tr_68_ap,0
tr_70_ap,2
tr_71_ap,1
tr_72_ap,2
tr_73_ap,0
tr_74_ap,2
tr_75_ap,1
tr_76_ap,1
tr_77_ap,0
tr_79_ap,0
tr_80_ap,2
tr_81_ap,0
tr_82_ap,0
tr_83_ap,0
tr_84_ap,2
tr_85_ap,1
tr_86_ap,0
tr_87_ap,0
tr_88_ap,0
tr_89_ap,1
tr_90_ap,1
tr_91_ap,0
tr_92_ap,1
tr_93_ap,1
tr_95_ap,1
tr_96_ap,2
tr_97_ap,2
tr_98_ap,2
tr_100_ap,1
tr_101_ap,1
tr_102_ap,1
tr_103_ap,0
tr_104_ap,2
tr_105_ap,1
tr_106_ap,1
tr_108_ap,0
tr_109_ap,0
tr_111_ap,0
tr_112_ap,1
tr_114_ap,2
tr_115_ap,1
tr_116_ap,1
tr_117_ap,0
tr_118_ap,0
tr_119_ap,2
tr_120_ap,0
tr_121_ap,1
tr_122_ap,1
tr_123_ap,0
tr_124_ap,2
tr_125_ap,2
tr_126_ap,0
tr_128_ap,2
tr_129_ap,1
tr_130_ap,1
tr_131_ap,0
tr_132_ap,1
tr_133_ap,2
tr_134_ap,1
tr_135_ap,1
tr_136_ap,2
tr_137_ap,0
tr_139_ap,1
tr_140_ap,0
tr_141_ap,0
tr_142_ap,1
tr_143_ap,0
tr_145_ap,0
tr_146_ap,1
tr_147_ap,2
tr_148_ap,2
tr_149_ap,2
tr_151_ap,1
tr_152_ap,1
tr_154_ap,1
tr_155_ap,1
tr_156_ap,0
tr_160_ap,1
tr_161_ap,2
tr_168_ap,0
tr_169_ap,1
tr_170_ap,1
tr_171_ap,0
tr_172_ap,1
tr_173_ap,0
tr_174_ap,0
tr_177_ap,0
tr_179_ap,0
tr_180_ap,0
tr_181_ap,1
tr_182_ap,0
tr_183_ap,2
tr_185_ap,1
tr_186_ap,0
tr_187_ap,1
